property_type,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_category,luxury_category,area_room_ratio
flat,sector 84,0.88,4822.0,1825.0,3,3,3,,Relatively New,1825.0,,,0,0,0,1,0,semifurnished,High Floor,Medium,608.3333333333334
flat,sector 102,1.99,20665.0,963.0,2,2,2,South,New Property,1349.0,,963.0,0,0,0,0,0,semifurnished,High Floor,High,481.5
flat,sector 37d,1.4,7731.0,1811.0,3,3,3,South-East,Relatively New,1811.0,1711.0,1611.0,0,0,0,0,0,furnished,Mid Floor,Medium,603.6666666666666
house,sector 3,0.68,3875.0,1755.0,5,3,0,,Undefined,,1755.0,,0,0,0,0,0,semifurnished,Low Floor,Low,351.0
flat,sector 92,0.71,5354.0,1326.0,3,3,3,North-West,Relatively New,,,1326.0,0,0,0,1,0,semifurnished,Low Floor,Medium,442.0
flat,sector 25,3.7,17619.0,2100.0,4,4,3,North-West,Old Property,,,2100.0,0,1,0,0,0,furnished,High Floor,Low,525.0
flat,sohna road,0.91,6801.0,1338.0,2,2,3,,New Property,1350.0,,,1,0,0,0,0,semifurnished,Low Floor,Medium,669.0
flat,sector 72,3.25,10545.0,3082.0,3,3,3,South,Moderately Old,3300.0,,,0,1,0,0,0,semifurnished,Low Floor,Medium,1027.3333333333333
flat,sector 81,2.2,10476.0,2100.0,3,4,3+,East,Relatively New,2100.0,,,0,1,0,0,0,unfurnished,High Floor,Low,700.0
house,sector 11,4.0,19753.0,2025.0,5,4,1,North-East,Undefined,,225.0,180.0,0,0,0,0,0,semifurnished,Low Floor,Low,405.0
flat,sector 70,1.78,9128.0,1950.0,3,3,3+,North-East,Relatively New,1950.0,,,0,1,0,0,1,semifurnished,Mid Floor,Low,650.0
flat,sector 37c,0.99,5455.0,1815.0,3,5,3+,North-West,Relatively New,1815.0,1400.0,1270.0,0,1,0,0,0,semifurnished,Mid Floor,Low,605.0
house,sector 56,2.95,20233.0,1458.0,2,2,0,North,Undefined,,162.0,,0,0,0,0,0,semifurnished,Low Floor,Low,729.0
flat,sector 84,0.54,4459.0,1211.0,2,2,3+,North-West,Relatively New,1200.0,,,0,0,0,0,0,semifurnished,High Floor,Medium,605.5
flat,sector 82,0.85,6538.0,1300.0,2,2,2,East,Relatively New,1300.0,,,0,0,0,0,0,furnished,Low Floor,Low,650.0
flat,sector 95,0.6,5576.0,1076.0,2,2,2,,Relatively New,1076.0,,,1,0,0,0,0,semifurnished,High Floor,Low,538.0
house,sector 14,6.5,26000.0,2500.0,5,5,0,,Moderately Old,,2500.0,,0,0,0,0,0,semifurnished,Mid Floor,Low,500.0
flat,sector 95,0.45,6475.0,695.0,2,2,2,North,Undefined,,695.0,595.0,0,0,0,0,0,semifurnished,High Floor,Low,347.5
flat,sector 92,0.5,4237.0,1180.0,3,3,2,North,Relatively New,1180.0,,,0,0,0,0,0,semifurnished,Low Floor,Low,393.3333333333333
